cod;nome;período;valor
11;RO;1989;47
53;DF;1989;23
52;GO;1989;91
51;MT;1989;31
50;MS;1989;39
43;RS;1989;142
42;SC;1989;39
41;PR;1989;105
35;SP;1989;671
33;RJ;1989;304
32;ES;1989;75
31;MG;1989;168
29;BA;1989;80
28;SE;1989;15
27;AL;1989;66
26;PE;1989;173
25;PB;1989;52
24;RN;1989;14
23;CE;1989;47
22;PI;1989;17
21;MA;1989;28
17;TO;1989;14
16;AP;1989;3
15;PA;1989;51
14;RR;1989;12
13;AM;1989;31
12;AC;1989;6
53;DF;1990;40
11;RO;1990;37
12;AC;1990;6
13;AM;1990;31
14;RR;1990;20
15;PA;1990;78
16;AP;1990;5
17;TO;1990;7
21;MA;1990;32
22;PI;1990;5
23;CE;1990;45
24;RN;1990;20
25;PB;1990;41
26;PE;1990;219
27;AL;1990;55
28;SE;1990;13
29;BA;1990;77
31;MG;1990;148
32;ES;1990;88
33;RJ;1990;477
35;SP;1990;679
41;PR;1990;125
42;SC;1990;46
43;RS;1990;157
50;MS;1990;40
51;MT;1990;39
52;GO;1990;58
11;RO;1991;33
12;AC;1991;9
13;AM;1991;18
14;RR;1991;9
15;PA;1991;72
16;AP;1991;5
17;TO;1991;9
21;MA;1991;54
22;PI;1991;11
23;CE;1991;53
24;RN;1991;17
25;PB;1991;40
26;PE;1991;232
27;AL;1991;67
28;SE;1991;21
29;BA;1991;64
31;MG;1991;159
32;ES;1991;95
33;RJ;1991;370
35;SP;1991;789
41;PR;1991;149
42;SC;1991;38
43;RS;1991;156
50;MS;1991;47
51;MT;1991;49
52;GO;1991;110
53;DF;1991;52
53;DF;1992;40
11;RO;1992;35
12;AC;1992;13
13;AM;1992;26
14;RR;1992;9
15;PA;1992;56
16;AP;1992;4
17;TO;1992;5
21;MA;1992;30
22;PI;1992;10
23;CE;1992;42
24;RN;1992;15
25;PB;1992;36
26;PE;1992;171
27;AL;1992;53
28;SE;1992;28
29;BA;1992;79
31;MG;1992;154
32;ES;1992;85
33;RJ;1992;319
35;SP;1992;644
41;PR;1992;116
42;SC;1992;50
43;RS;1992;161
50;MS;1992;58
51;MT;1992;35
52;GO;1992;125
11;RO;1993;55
12;AC;1993;12
13;AM;1993;33
14;RR;1993;4
15;PA;1993;46
16;AP;1993;5
17;TO;1993;12
21;MA;1993;33
22;PI;1993;13
23;CE;1993;61
24;RN;1993;21
25;PB;1993;26
26;PE;1993;218
27;AL;1993;50
28;SE;1993;25
29;BA;1993;120
31;MG;1993;181
32;ES;1993;101
33;RJ;1993;381
35;SP;1993;726
41;PR;1993;138
42;SC;1993;34
43;RS;1993;113
50;MS;1993;39
51;MT;1993;31
52;GO;1993;96
53;DF;1993;49
53;DF;1994;50
11;RO;1994;37
12;AC;1994;11
13;AM;1994;27
14;RR;1994;6
15;PA;1994;59
16;AP;1994;16
17;TO;1994;13
21;MA;1994;24
22;PI;1994;10
23;CE;1994;59
24;RN;1994;19
25;PB;1994;28
26;PE;1994;191
27;AL;1994;48
28;SE;1994;32
29;BA;1994;180
31;MG;1994;170
32;ES;1994;108
33;RJ;1994;491
35;SP;1994;787
41;PR;1994;130
42;SC;1994;45
43;RS;1994;138
50;MS;1994;48
51;MT;1994;20
52;GO;1994;93
11;RO;1995;37
12;AC;1995;16
13;AM;1995;42
14;RR;1995;8
15;PA;1995;59
16;AP;1995;11
17;TO;1995;5
21;MA;1995;40
22;PI;1995;19
23;CE;1995;55
24;RN;1995;30
25;PB;1995;66
26;PE;1995;205
27;AL;1995;62
28;SE;1995;27
29;BA;1995;165
31;MG;1995;145
32;ES;1995;123
33;RJ;1995;587
35;SP;1995;959
41;PR;1995;163
42;SC;1995;48
43;RS;1995;151
50;MS;1995;51
51;MT;1995;66
52;GO;1995;129
53;DF;1995;57
11;RO;1996;43
12;AC;1996;15
13;AM;1996;33
14;RR;1996;18
15;PA;1996;78
16;AP;1996;16
17;TO;1996;21
21;MA;1996;31
22;PI;1996;14
23;CE;1996;84
24;RN;1996;35
25;PB;1996;106
26;PE;1996;245
27;AL;1996;70
28;SE;1996;30
29;BA;1996;176
31;MG;1996;185
32;ES;1996;123
33;RJ;1996;651
35;SP;1996;959
41;PR;1996;154
42;SC;1996;67
43;RS;1996;192
50;MS;1996;79
51;MT;1996;87
52;GO;1996;119
53;DF;1996;52
11;RO;1997;33
53;DF;1997;48
52;GO;1997;94
51;MT;1997;88
50;MS;1997;71
43;RS;1997;190
42;SC;1997;51
41;PR;1997;157
35;SP;1997;1028
33;RJ;1997;646
32;ES;1997;128
31;MG;1997;179
29;BA;1997;175
28;SE;1997;18
27;AL;1997;62
26;PE;1997;243
25;PB;1997;42
24;RN;1997;27
23;CE;1997;85
22;PI;1997;13
21;MA;1997;46
17;TO;1997;19
16;AP;1997;12
15;PA;1997;76
14;RR;1997;10
13;AM;1997;33
12;AC;1997;14
53;DF;1998;54
11;RO;1998;45
12;AC;1998;12
13;AM;1998;52
14;RR;1998;12
15;PA;1998;67
16;AP;1998;12
17;TO;1998;19
21;MA;1998;30
22;PI;1998;20
23;CE;1998;56
24;RN;1998;20
25;PB;1998;41
26;PE;1998;277
27;AL;1998;45
28;SE;1998;13
29;BA;1998;101
31;MG;1998;201
32;ES;1998;163
33;RJ;1998;560
35;SP;1998;1034
41;PR;1998;178
42;SC;1998;69
43;RS;1998;181
50;MS;1998;73
51;MT;1998;93
52;GO;1998;76
11;RO;1999;38
12;AC;1999;7
13;AM;1999;51
